target image path,labels,class,anchors
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/4.jpg,!0 0.3936910648648649 0.1735577888888889 0.18949635135135137 0.24307602222222222,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/8.jpg,!0 0.27271424528301885 0.2432164622222222 0.4080570566037736 0.4554111288888889!0 0.7687679842767295 0.34801989333333333 0.3253150188679245 0.3947863777777778,Face,2
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/12.jpg,!0 0.4898368292682927 0.3553591836734694 0.28039853658536584 0.5527320136054421!0 0.3824848780487805 0.5322411564625851 0.17719853658536583 0.32948571428571427!0 0.7478375609756098 0.5146431972789116 0.1389960975609756 0.2828605442176871!0 0.13696243902439026 0.31067108843537417 0.18172585365853658 0.35097482993197276,Face,4
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/16.jpg,!0 0.5050668941979523 0.16052088888888888 0.28183686006825936 0.2735315555555556,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/20.jpg,!0 0.6367689200000001 0.461985043715847 0.43622040444444443 0.9003935683060109,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/24.jpg,!0 0.2260388888888889 0.5517428571428571 0.235312 0.5483105187969924!0 0.48072777777777775 0.36743383458646617 0.22496088888888888 0.6102398496240602!0 0.7451733333333332 0.6621338345864661 0.23823555555555556 0.614672932330827,Face,3
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/28.jpg,!0 0.4670800557184751 0.376284 0.2690010029325513 0.29473688444444446,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/32.jpg,!0 0.5258308822222222 0.3427779481707317 0.22023627555555556 0.4430320548780488!0 0.8628308755555555 0.2789206463414634 0.15919174222222224 0.3223827256097561,Face,2
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/40.jpg,!0 0.8508603911980439 0.3665071197411003 0.26996479217603914 0.5933249190938511!0 0.3589073349633252 0.38005631067961165 0.3053828850855746 0.5864116504854369,Face,2
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/44.jpg,!0 0.4970777027027027 0.2548302222222222 0.36019932432432433 0.39502533333333334,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/48.jpg,!0 0.4855403560830861 0.532410243902439 0.31678100890207717 0.4378375609756097,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/52.jpg,!0 0.43666639799331103 0.2090310311804009 0.2844815518394649 0.3074406815144766,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/56.jpg,!0 0.5058440829268293 0.21577351381215468 0.2146341463414634 0.36464088397790057,Face,1
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/60.jpg,!0 0.3779142544529262 0.30135955555555555 0.3387404580152672 0.4669568711111111!0 0.672937407124682 0.4553917777777778 0.2915328244274809 0.3464426666666667,Face,2
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/64.jpg,!0 0.5792483044776119 0.24840800222222223 0.11639222686567165 0.11922346222222222!0 0.8029053373134329 0.1561918 0.13797971940298506 0.15173148!0 0.820766256716418 0.4301470177777778 0.12534739104477613 0.14297600000000002,Face,3
D:/Desktop/Facial-Recognition/Face-Detection//dataset/fddb/FDDB-folds/annotations_darknet/68.jpg,!0 0.051568048780487805 0.39212677419354836 0.08120439024390243 0.16094709677419355!0 0.34980853658536587 0.19161516129032258 0.15245024390243903 0.3312322580645161!0 0.45532658536585363 0.30734225806451615 0.09317658536585365 0.17060967741935484!0 0.6687807317073171 0.2928074193548387 0.17491902439024393 0.34910967741935484!0 0.8971792682926829 0.40264903225806453 0.0951980487804878 0.17273959354838708!0 0.9694265853658537 0.4062251612903226 0.05406975609756098 0.10765612903225806,Face,6
